state,county,tract,kfr_pooled_pooled_p25,par_rank_pooled_pooled_mean,kid_pooled_pooled_n,kid_black_pooled_n,geoid
17,31,70500,0.37657979,0.7909885,289.0,6.0,17031070500
17,31,70600,0.33347267,0.67724007,468.0,7.0,17031070600
17,31,70700,0.33521092,0.32571945,570.0,225.0,17031070700
17,31,71000,0.65338886,0.82748801,281.0,4.0,17031071000
17,31,71100,0.083380759,0.8769995,292.0,4.0,17031071100
17,31,71200,0.41965169,0.7555877,224.0,3.0,17031071200
17,31,71300,0.43891236,0.83672363,428.0,29.0,17031071300
17,31,71400,0.39487839,0.70239121,314.0,26.0,17031071400
17,31,71500,0.37092733,0.72818708,435.0,42.0,17031071500
17,31,71600,0.35550916,0.83772135,315.0,30.0,17031071600
17,31,71700,0.34270668,0.63305104,237.0,55.0,17031071700
17,31,71800,0.31210908,0.64522165,516.0,127.0,17031071800
17,31,80100,0.44775856,0.85236496,437.0,6.0,17031080100
17,31,80201,0.40447772,0.76357996,221.0,10.0,17031080201
17,31,80202,0.46861434,0.77218258,235.0,10.0,17031080202
17,31,80300,0.4149799,0.63418436,381.0,62.0,17031080300
17,31,80400,0.3166953,0.23492597,1683.0,1542.0,17031080400
17,31,81000,0.36994985,0.53819996,213.0,56.0,17031081000
17,31,81100,0.37962973,0.57719606,124.0,14.0,17031081100
17,31,81201,0.4146283,0.75693756,250.0,12.0,17031081201
17,31,81202,0.43332195,0.88056731,185.0,8.0,17031081202
17,31,81300,0.42135665,0.79474342,229.0,11.0,17031081300
17,31,81401,0.3858718,0.63077801,99.0,16.0,17031081401
17,31,81402,0.32456225,0.7209847,184.0,30.0,17031081402
17,31,81403,0.49436036,0.75305337,270.0,44.0,17031081403
17,31,81500,0.35667431,0.70144844,122.0,29.0,17031081500
17,31,81600,0.37244639,0.66225231,45.0,4.0,17031081600
17,31,81700,0.31303123,0.49834698,159.0,70.0,17031081700
17,31,81800,0.32731083,0.61269373,243.0,166.0,17031081800
17,31,81900,0.34729317,0.20028348,640.0,620.0,17031081900
17,31,90100,0.47394687,0.74090773,656.0,3.0,17031090100
17,31,90200,0.48994264,0.75349504,1329.0,3.0,17031090200
17,31,90300,0.55927789,0.7248081,345.0,1.0,17031090300
17,31,100100,0.47064468,0.6188491,1072.0,10.0,17031100100
17,31,100200,0.47703785,0.67457163,1279.0,5.0,17031100200
17,31,100300,0.49510378,0.7313717,1182.0,1.0,17031100300
17,31,100400,0.42641279,0.71098256,619.0,1.0,17031100400
17,31,100500,0.48995304,0.6683625,1124.0,1.0,17031100500
17,31,100600,0.52035332,0.61469179,854.0,2.0,17031100600
17,31,100700,0.49509892,0.66847306,828.0,9.0,17031100700
17,31,110100,0.48214933,0.64921874,1168.0,5.0,17031110100
17,31,110200,0.44639701,0.62252021,521.0,10.0,17031110200
17,31,110300,0.48059455,0.58078378,1046.0,3.0,17031110300
17,31,110400,0.4666194,0.58732557,771.0,3.0,17031110400
17,31,110501,0.49647588,0.60325861,992.0,9.0,17031110501
17,31,110502,0.39044368,0.47028321,687.0,6.0,17031110502
17,31,120100,0.58875692,0.81562018,1031.0,2.0,17031120100
17,31,120200,0.55347544,0.77082855,926.0,0.0,17031120200
17,31,120300,0.48661515,0.72560179,1381.0,15.0,17031120300
17,31,120400,0.45606804,0.59788549,765.0,2.0,17031120400
17,31,130100,0.49152756,0.6567148,1039.0,4.0,17031130100
17,31,130200,0.47811288,0.5749647,282.0,0.0,17031130200
17,31,130300,0.51743001,0.54054856,1267.0,27.0,17031130300
17,31,140100,0.40427837,0.34566441,1556.0,140.0,17031140100
17,31,140200,0.43636113,0.34195942,1983.0,129.0,17031140200
17,31,140301,0.50067031,0.31856394,879.0,33.0,17031140301
17,31,140302,0.46505219,0.45543635,1322.0,50.0,17031140302
17,31,140400,0.46290907,0.57444805,1488.0,17.0,17031140400
17,31,140500,0.45824787,0.47575805,963.0,20.0,17031140500
17,31,140601,0.42632309,0.41408458,991.0,35.0,17031140601
17,31,140602,0.4342221,0.33671659,1919.0,68.0,17031140602
17,31,140701,0.42666838,0.30587891,970.0,32.0,17031140701
17,31,140702,0.45159611,0.35925788,2045.0,69.0,17031140702
17,31,140800,0.41807783,0.45850703,1956.0,66.0,17031140800
17,31,150200,0.44725364,0.54387772,1741.0,10.0,17031150200
17,31,150300,0.46597356,0.56521678,1504.0,7.0,17031150300
17,31,150401,0.54305619,0.52670443,1010.0,1.0,17031150401
17,31,150402,0.51933974,0.50197291,818.0,0.0,17031150402
17,31,150501,0.45940033,0.57916808,766.0,3.0,17031150501
17,31,150502,0.49191982,0.54651719,882.0,3.0,17031150502
17,31,150600,0.4474681,0.54567552,987.0,6.0,17031150600
17,31,150700,0.48175478,0.53961033,1092.0,12.0,17031150700
17,31,150800,0.40751684,0.49673954,1375.0,16.0,17031150800
17,31,151001,0.47207496,0.39878923,759.0,6.0,17031151001
17,31,151002,0.42260405,0.43810833,1229.0,10.0,17031151002
17,31,151100,0.46301931,0.39785922,1127.0,2.0,17031151100
17,31,151200,0.45107362,0.48038846,795.0,0.0,17031151200
17,31,160100,0.47822994,0.56374496,597.0,2.0,17031160100
17,31,160200,0.45559347,0.59408182,883.0,51.0,17031160200
17,31,160300,0.42694113,0.38403913,574.0,14.0,17031160300
17,31,160400,0.44283345,0.49034891,1335.0,23.0,17031160400
17,31,160501,0.4135434,0.40717235,1488.0,45.0,17031160501
17,31,160502,0.4160248,0.41482309,1261.0,39.0,17031160502
17,31,160601,0.43513948,0.4006258,1145.0,32.0,17031160601
17,31,160602,0.41873902,0.44099176,1178.0,32.0,17031160602
17,31,160700,0.43329403,0.45462054,1694.0,46.0,17031160700
17,31,160800,0.4142707,0.48261347,1410.0,19.0,17031160800
17,31,160900,0.43657005,0.53071117,567.0,19.0,17031160900
