geoid,Threshold,jobs
17031030101,15,9205.48043108338
17031030101,20,15175.644923425978
17031030101,25,28068.33579126489
17031030101,30,57412.19228587635
17031030101,35,147530.36131593873
17031030101,40,370185.9438457175
17031030101,45,693744.0283607488
17031030101,50,942075.090754396
17031030101,55,1071665.4282473058
17031030101,60,1145580.421440726
17031030102,5,266.68935097668555
17031030102,10,1417.5078764965344
17031030102,15,8449.38059231254
17031030102,20,13364.759924385631
17031030102,25,24002.180214240707
17031030102,30,40803.75047258979
17031030102,35,107467.3213610586
17031030102,40,242588.2879647133
17031030102,45,554373.0233144298
17031030102,50,829736.2665406427
17031030102,55,1025523.8928796472
17031030102,60,1101418.1940768743
17031030103,5,415.34354485776805
17031030103,10,3156.870897155361
17031030103,15,8763.95295404814
17031030103,20,14872.557986870896
17031030103,25,27118.12035010941
17031030103,30,42146.80634573304
17031030103,35,93362.81291028448
17031030103,40,231220.97811816193
17031030103,45,514915.6115973742
17031030103,50,812157.0623632385
17031030103,55,1011630.8665207876
17031030103,60,1091676.1772428884
17031030104,5,205.54874371859296
17031030104,10,5831.962814070352
17031030104,15,8849.588944723619
17031030104,20,15270.9567839196
17031030104,25,28059.18391959799
17031030104,30,37649.125628140704
17031030104,35,73505.90954773869
17031030104,40,177461.83015075375
17031030104,45,370841.7849246231
17031030104,50,700952.0281407036
17031030104,55,938567.6904522614
17031030104,60,1048533.6291457288
17031030200,5,243.1632723507076
17031030200,10,1406.0310666206422
17031030200,15,6583.483948912668
17031030200,20,16453.568173973075
17031030200,25,28974.961339316535
17031030200,30,43574.251984811875
17031030200,35,72805.78287884018
17031030200,40,154268.73558853986
17031030200,45,356986.9910251985
17031030200,50,637092.1266827753
17031030200,55,940566.240248533
17031030200,60,1075057.5232999655
17031030300,5,100.64780342516754
17031030300,10,850.5793000744602
17031030300,15,5022.279225614297
17031030300,20,14779.326135517498
17031030300,25,26211.33283693224
17031030300,30,40665.47356664185
17031030300,35,64988.48175725987
17031030300,40,100747.8473566642
17031030300,45,155503.625465376
17031030300,50,254880.40282948624
17031030300,55,568838.1064780343
17031030300,60,926981.2688011914
17031030400,5,267.8063002680965
17031030400,10,1140.493297587131
17031030400,15,3723.898793565684
17031030400,20,8697.264745308312
17031030400,25,19644.176273458444
17031030400,30,46128.86796246649
