geoid,county,mobility,parent_rank,frac_black,density,transit_added,jobs_5,jobs_10,jobs_15,jobs_20,jobs_25,jobs_30,jobs_35,jobs_40,jobs_45,jobs_50,jobs_55,jobs_60
17031280100,Cook,32.086352,77.04012399999999,0.3625,356.1859203234568,1.6387346744651055,4286.209666283084,32073.611047180668,209419.2754890679,543794.7307249713,757120.1079401611,874678.3663981588,951935.3861910242,1024460.8837744534,1095132.7521288835,1197097.713693901,1307065.3010356731,1396033.249252014
17031280400,Cook,25.929916,20.597187,0.9674556213017751,3486.365752253384,2.4111275249880193,469.969868173258,5052.182674199624,39486.806026365346,162438.4538606403,401372.8587570622,689014.3483992467,884293.2504708098,984523.2222222222,1058121.5461393597,1134947.693032015,1222146.2881355933,1302243.4745762711
17031280800,Cook,24.443533000000002,14.300528000000002,0.9806397306397306,12963.198368192925,3.022901885858453,70.61076604554866,1194.5693581780538,7380.836438923396,36949.26708074534,84309.38923395445,351973.6480331263,656538.1511387164,843606.0766045549,987151.1780538304,1102025.066252588,1187026.7536231885,1260306.9089026914
17031280900,Cook,26.35842,20.81819,0.9783333333333334,13549.624342365878,2.984807549472897,64.96436525612472,1317.5055679287304,8833.643652561248,35271.236080178176,90467.41648106904,373952.5055679287,669444.153674833,859103.7772828508,1008108.2561247216,1122463.1804008908,1199851.0556792873,1273178.14922049
17031281900,Cook,35.910434,54.664654,0.576530612244898,1205.7042719660262,1.3746861013902478,12777.257713781955,59064.53100205701,236134.38260358508,519935.8383779019,700808.6644137526,838946.2506611813,928639.913605642,996127.1263590947,1095252.356156333,1210622.6188657067,1320704.7334704672,1399651.467234793
17031282700,Cook,37.949228000000005,31.427677999999997,0.37422037422037424,2835.8588405375317,3.098993703781109,178.7750865051903,1001.493079584775,6398.346020761246,33402.12629757785,148458.78460207614,341309.5173010381,618766.2525951557,822002.6020761245,974811.1704152249,1091518.7465397925,1191142.455882353,1259142.0916955017
17031282800,Cook,39.825630000000004,41.419461,0.20412371134020618,7640.594106669911,3.0108952846536883,211.2378640776699,1210.7208737864078,6283.9235436893205,34256.31674757282,66437.58373786407,192997.6177184466,504685.3519417476,758741.4308252428,934262.311893204,1070728.292475728,1172013.0412621358,1242503.224514563
17031283100,Cook,33.482575,42.400791999999996,0.5654320987654321,4844.7214933333335,2.784205104930295,329.2008368200837,2047.7353556485357,23655.142259414228,57254.91108786611,160468.64435146443,528518.6872384937,772965.3566945606,914423.9027196652,1017957.8326359832,1095227.327405858,1169852.640167364,1246495.2238493725
17031283200,Cook,30.601567000000003,34.121745999999995,0.825938566552901,3208.10036199338,2.9436703193626714,216.48320413436693,1380.4961240310076,24814.241602067184,66768.83850129199,175629.6330749354,529334.5788113695,721235.027131783,869281.2157622739,988726.2441860464,1059772.642118863,1150793.177002584,1213443.7028423774
17031283800,Cook,29.130181999999998,24.390006,0.9601029601029601,5348.797202119595,3.32296108360962,97.31217948717948,546.4423076923077,3462.952564102564,28581.81923076923,86296.65833333334,256807.02564102568,576079.6134615385,770740.8596153846,906421.264102564,1001403.4583333334,1076807.2641025642,1151593.1269230768
17031290900,Cook,26.983115,25.464672,0.977342314758114,4244.322690887558,3.465835290631312,30.7509130752374,354.2585829072315,1924.010226442659,5861.388604821037,14173.572680788897,27544.93791088386,51318.06355003653,127490.89554419284,384748.95252008765,719136.7567567568,931334.5222790358,1038435.3206720232
17031291200,Cook,27.358353,23.294038,0.9842105263157894,10465.77480189732,3.480378385479653,32.456043956043956,366.3159340659341,1897.9381868131868,5803.2101648351645,16267.758241758242,36948.77884615384,81303.41895604396,198605.3708791209,611082.9162087912,882689.3035714285,1020962.1112637364,1110242.2815934066
17031291600,Cook,36.604005,28.841799,0.13174946004319654,5442.3368207568665,2.780533063361695,121.1763440860215,1940.3655913978496,4275.6322580645165,12116.886021505376,34001.48387096774,86864.61720430107,303349.7247311828,730055.5225806452,921285.4623655914,1031844.6559139783,1112390.812903226,1171224.1548387096
17031292200,Cook,28.557691000000002,25.903857000000002,0.9845874886672711,7247.708762179339,3.576965961514206,17.967551622418878,300.04228121927235,1715.530973451327,7710.279252704031,19841.75417895772,50211.30481809243,149291.57522123895,414899.9705014749,768115.7561455261,960737.977384464,1069930.755162242,1136561.8534906588
17031292400,Cook,25.834553999999997,26.001486,0.9736008447729673,7417.690606270504,3.2571848411102193,116.14109589041097,640.7123287671233,3073.357534246575,8954.301369863013,24686.430136986302,68347.59726027398,204101.22465753424,486967.5849315068,814186.4698630137,991630.4246575342,1094712.5739726028,1160178.598630137
17031292500,Cook,27.294603000000002,27.863368,0.9777337951509154,5327.604375158709,3.350088125496247,88.37332339791357,513.3107302533532,3005.109538002981,8052.995529061102,20403.262295081968,55459.380029806256,175802.23621460507,467699.7749627422,795907.8338301043,981232.222056632,1087810.6184798807,1151630.9649776453
17031300500,Cook,37.331438,35.047185,0.11529411764705882,12183.974676986765,3.072701054655427,169.1791221826809,902.4377224199288,2631.2752075919334,6298.850533807829,15451.865954922894,33835.041518386715,65790.94068801898,145760.8730723606,337840.23131672596,699965.2633451957,960861.8706998812,1068067.9134045078
17031300600,Cook,34.133333,35.174587,0.20048115477145148,9841.231918840742,3.069734240937474,178.94335260115608,925.7745664739884,2642.2739884393063,6824.02774566474,18670.773410404625,37328.3260115607,83709.70057803468,209288.17225433525,476160.0404624278,793341.2832369942,1004788.2809248556,1088198.063583815
17031300700,Cook,37.34355,30.551702,0.021093413689195005,18280.30632646525,3.15782155747152,141.20211898940505,743.9649551752241,2412.677261613692,6361.616951915241,17141.97229013855,35215.120619396905,70808.02852485738,172398.02037489813,421676.391198044,762953.781581092,985165.1206193968,1071413.2061939691
17031300800,Cook,38.937512000000005,31.691325,0.022110552763819097,15817.522202416601,3.090345820644783,121.1998097050428,895.0494766888678,3007.3568030447195,8784.14462416746,22272.82588011418,47147.09895337773,117419.2026641294,298643.46241674596,600508.3739295909,883532.8791627022,1026806.577545195,1103258.843958135
17031300900,Cook,39.628762,29.36551,0.0071492403932082215,17709.780326038173,3.0657286670581048,220.75190516511432,942.7375105842508,3182.4386113463165,9404.911939034717,21617.8933107536,44694.383573243016,98795.26841659613,252116.033022862,595819.9686706181,891968.9559695174,1022295.1574936494,1097942.2277730736
17031301100,Cook,39.042443,27.83882,0.06587837837837837,14504.178420895467,3.154841367167124,52.712286158631414,762.800933125972,4595.057542768273,12177.175738724727,23322.19906687403,45554.580093312594,87269.66718506998,218060.4105754277,556150.4401244168,881241.0279937792,1015411.1555209954,1090990.9642301712
17031301200,Cook,37.836117,30.051112000000003,0.07919687674288901,9630.44489756939,3.1845439305264165,85.22873658133774,734.8241123038811,3904.1800165152767,11835.258464079274,25850.7539223782,56348.08587943848,145530.30222956234,380615.3641618497,740081.6853839802,952683.2246077622,1057377.1684558217,1125427.5953757225
17031301600,Cook,36.628741,33.952343,0.005,15719.905864255865,3.2264492537986973,77.9647766323024,552.9931271477664,2079.9759450171823,5070.743986254295,13719.168384879726,30162.65206185567,49976.13745704467,80359.81443298969,144108.33419243986,338133.3333333333,752331.0369415807,933153.6632302406
17031301701,Cook,40.433666,35.549608,0.004194128220491312,13068.449226964669,2.997313753712126,179.1105722599418,990.7032007759456,2678.2104752667315,5901.829291949563,16293.75945683802,32316.100872938896,54802.15130940834,94529.31231813772,163277.05043646944,432316.61396702233,835426.2250242484,985587.1396702232
17031301702,Cook,42.439324,39.692572,0.003893575600259572,12058.321207133096,3.3683070462328715,62.91295938104449,412.6992263056093,1942.6112185686657,6819.513539651837,15783.946808510638,30831.334622823982,53963.36847195358,89067.93520309478,146470.38007736945,351043.7185686654,795837.5,966031.5386847196
17031301801,Cook,40.686098,38.761607,0.009950248756218905,5992.918611932143,2.9353782063027016,181.61826484018263,884.993607305936,2345.42100456621,5718.1506849315065,10432.883105022833,18766.424657534248,35186.2794520548,60253.479452054795,100418.50136986302,184454.65753424657,462525.7105022831,763498.5662100457
17031301802,Cook,41.065204,34.97214,0.009915014164305949,10599.845256511913,3.0078960944368625,200.51199165797703,972.7320125130344,2636.714285714286,6762.492179353493,13679.566214807091,28222.706986444213,51609.87486965589,91554.3274244004,179687.3639207508,457914.7205422315,833018.4827945777,991596.7726798748
